-47.500000000,3.312500000,29.937500000,1590318451331
-45.500000000,-5.687500000,29.187500000,1590318451531
-44.687500000,-13.125000000,25.250000000,1590318451731
-45.125000000,-14.937500000,20.812500000,1590318451931
-44.812500000,-18.437500000,16.750000000,1590318452131
-44.187500000,-17.687500000,16.312500000,1590318452330
-44.687500000,-17.812500000,14.625000000,1590318452530
-43.937500000,-18.812500000,12.625000000,1590318452731
-44.187500000,-18.500000000,11.625000000,1590318452931
-44.312500000,-19.375000000,9.000000000,1590318453131
-44.312500000,-18.125000000,8.625000000,1590318453332
-44.625000000,-18.312500000,8.812500000,1590318453530
-45.187500000,-18.187500000,9.062500000,1590318453730
-44.187500000,-17.625000000,6.687500000,1590318453931
-45.312500000,-17.625000000,6.250000000,1590318454131
-45.500000000,-18.000000000,8.500000000,1590318454331
-46.187500000,-17.062500000,8.812500000,1590318454530
-46.437500000,-16.937500000,10.437500000,1590318454730
-45.875000000,-18.625000000,8.625000000,1590318454931
-45.812500000,-17.875000000,9.750000000,1590318455131
-45.250000000,-17.312500000,12.687500000,1590318455330
-45.750000000,-16.437500000,11.500000000,1590318455532
-45.500000000,-16.750000000,11.812500000,1590318455730
-44.625000000,-17.375000000,10.812500000,1590318455932
-44.625000000,-17.187500000,11.312500000,1590318456130
-45.250000000,-16.937500000,13.375000000,1590318456330
